City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
530,monte alegre,-2.0078,-54.0692,83.53,70,49,7.18,BR,1614441617
531,prince rupert,54.3161,-130.3201,37.4,93,90,8.05,CA,1614441524
532,ranong,9.9658,98.6348,74.21,75,1,2.75,TH,1614441617
533,domoni,-12.2569,44.5319,81.14,78,99,6.71,KM,1614441618
534,maceio,-9.6658,-35.7353,84.2,70,75,14.97,BR,1614441552
535,hammerfest,70.6634,23.6821,32.0,80,75,9.22,NO,1614441618
536,victor harbor,-35.5667,138.6167,61.0,81,53,4.36,AU,1614441619
537,port pirie,-33.1833,138.0167,66.2,77,25,9.22,AU,1614441619
538,anacortes,48.5126,-122.6127,42.8,61,75,10.36,US,1614441589
539,zhigalovo,54.8097,105.1578,-16.13,85,88,2.86,RU,1614441620
540,puerto escondido,15.85,-97.0667,80.6,78,1,5.75,MX,1614441620
541,gornopravdinsk,60.05,69.9,-12.06,89,44,5.82,RU,1614441620
542,macenta,8.5435,-9.471,93.85,24,5,3.85,GN,1614441621
543,tirumullaivasal,11.2333,79.8333,76.44,75,0,10.36,IN,1614441621
544,tateyama,34.9833,139.8667,39.2,52,20,10.36,JP,1614441622
545,ecuandureo,20.1667,-102.1833,78.64,30,15,1.61,MX,1614441622
546,borisoglebsk,51.3671,42.0849,24.44,81,98,16.13,RU,1614441622
547,ahipara,-35.1667,173.1667,60.94,89,7,4.9,NZ,1614441623
548,hambantota,6.1241,81.1185,80.6,94,40,3.44,LK,1614441623
549,hanzhong,33.0728,107.0303,45.82,83,100,2.17,CN,1614441624
550,gorontalo,0.5412,123.0595,76.15,87,66,3.4,ID,1614441624
551,mbini,1.574,9.6134,84.07,67,16,7.65,GQ,1614441625
552,namatanai,-3.6667,152.4333,80.37,80,100,5.55,PG,1614441625
553,ngunguru,-35.6167,174.5,61.0,95,78,5.01,NZ,1614441625
554,sulphur,30.2366,-93.3774,73.4,94,40,11.5,US,1614441626
555,nizhniy odes,63.6445,54.856,-1.82,91,1,5.12,RU,1614441626
556,colac,-38.3333,143.5833,50.0,96,10,3.71,AU,1614441627
557,karagaylinskiy,54.172,86.5521,-8.79,89,100,5.59,RU,1614441627
558,luwuk,-0.9516,122.7875,78.39,76,53,5.06,ID,1614441628
559,san policarpo,12.1791,125.5072,80.8,82,0,11.07,PH,1614441628
560,cochrane,51.1834,-114.4687,10.99,85,90,3.0,CA,1614441491
561,general roca,-39.0333,-67.5833,82.4,54,0,11.5,AR,1614441629
562,blind river,46.1834,-82.9582,33.8,80,75,6.91,CA,1614441629
563,winona,43.9666,-91.7668,37.99,75,1,4.25,US,1614441629
564,aljezur,37.3191,-8.8033,61.07,68,100,3.94,PT,1614441630
565,solsona,41.994,1.5171,59.0,41,0,9.22,ES,1614441630
566,zhangye,38.9342,100.4517,28.63,74,69,1.86,CN,1614441631
567,rio verde de mato grosso,-18.9181,-54.8442,87.91,58,2,0.85,BR,1614441631
568,buchanan,5.8808,-10.0467,84.31,68,16,9.44,LR,1614441632
